Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
25.4,49.5,47.7,Black,Oil seeds,5.8,16.9,24.8,17-17-17
21.5,76.6,44.6,Clayey,Sugarcane,31.2,44.8,11.5,DAP
22.3,60.2,46.2,Clayey,Pulses,20.0,15.8,20.0,14-35-14
30.3,62.7,52.3,Clayey,Oil seeds,22.1,27.0,10.1,DAP
33.9,68.2,29.8,Clayey,Maize,13.5,23.9,44.2,Urea
32.6,71.0,36.3,Clayey,Cotton,5.6,29.0,42.7,Urea
30.8,45.0,56.9,Loamy,Tobacco,15.8,20.4,17.7,14-35-14
27.5,78.9,54.4,Clayey,Millets,6.4,22.5,42.0,Urea
33.2,74.6,46.5,Clayey,Barley,9.2,28.6,8.2,20-20
31.0,76.0,37.3,Red,Maize,24.7,14.3,41.0,28-28
23.0,45.8,46.7,Red,Maize,16.3,19.6,18.4,14-35-14
27.8,67.2,43.0,Red,Paddy,5.2,30.3,27.6,Urea
32.0,73.8,39.2,Sandy,Oil seeds,21.2,26.6,6.3,DAP
26.7,69.5,36.8,Loamy,Paddy,17.3,19.3,20.1,14-35-14
22.2,46.5,50.6,Black,Wheat,7.2,9.0,28.7,17-17-17
20.4,70.7,41.0,Clayey,Barley,40.4,40.7,7.9,Urea
23.3,78.9,53.7,Black,Wheat,12.4,28.9,20.3,Urea
21.4,62.7,42.2,Red,Barley,20.4,6.1,25.9,28-28
31.4,49.7,36.1,Sandy,Maize,42.5,29.8,12.2,DAP
36.4,41.0,42.9,Clayey,Pulses,35.3,39.3,14.7,DAP
37.0,50.6,34.1,Clayey,Wheat,12.1,25.2,31.5,Urea
25.1,50.7,60.2,Black,Millets,24.1,6.6,12.9,10-26-26
28.5,65.1,58.9,Red,Maize,13.8,25.9,10.6,20-20
22.1,68.6,33.7,Sandy,Paddy,24.4,7.4,8.0,10-26-26
20.2,58.9,42.1,Sandy,Tobacco,20.5,21.0,20.0,14-35-14
20.2,78.7,38.7,Loamy,Paddy,44.8,9.6,9.6,10-26-26
35.2,69.9,64.7,Sandy,Ground Nuts,35.3,12.2,18.0,10-26-26
32.6,56.3,46.9,Loamy,Barley,43.6,15.3,7.0,10-26-26
21.1,43.3,36.9,Loamy,Oil seeds,17.4,21.1,17.4,20-20
25.0,69.3,48.1,Clayey,Millets,9.2,32.3,26.6,28-28
25.2,72.3,44.3,Clayey,Paddy,9.1,11.8,24.7,17-17-17
34.1,70.8,39.2,Sandy,Maize,6.9,35.6,13.8,20-20
21.9,74.9,45.7,Black,Ground Nuts,16.7,29.5,5.3,20-20
28.5,77.2,40.8,Loamy,Pulses,16.2,19.3,15.1,14-35-14
36.6,44.3,33.4,Sandy,Cotton,16.5,5.7,40.2,17-17-17
36.9,62.4,51.4,Sandy,Paddy,5.5,24.2,39.5,Urea
27.1,74.1,55.2,Sandy,Cotton,15.9,15.2,34.3,17-17-17
31.8,58.6,63.6,Black,Wheat,42.0,29.3,11.2,DAP
30.4,55.8,37.3,Black,Ground Nuts,30.2,7.6,34.3,28-28
33.7,61.3,27.7,Red,Paddy,29.2,38.9,8.2,DAP
36.9,43.1,63.4,Black,Barley,26.1,30.8,8.6,DAP
29.7,71.9,58.7,Clayey,Barley,5.5,23.7,30.7,Urea
31.5,42.6,54.4,Loamy,Ground Nuts,6.8,33.5,25.0,Urea
27.9,72.0,43.5,Sandy,Maize,14.6,11.2,38.1,17-17-17
28.2,74.1,53.3,Clayey,Millets,15.1,20.1,18.8,14-35-14
31.2,70.4,54.0,Sandy,Ground Nuts,10.2,11.1,40.5,17-17-17
32.9,75.1,35.9,Sandy,Ground Nuts,7.3,34.5,13.6,20-20
37.8,72.9,54.8,Black,Wheat,21.2,15.4,17.3,14-35-14
28.6,50.8,53.6,Red,Cotton,18.2,20.9,20.4,14-35-14
32.8,60.3,50.0,Sandy,Sugarcane,17.4,40.2,11.0,20-20
32.6,69.5,51.5,Loamy,Millets,5.6,31.2,42.0,Urea
35.2,67.0,59.0,Sandy,Paddy,6.9,15.5,20.8,17-17-17
34.8,68.3,30.3,Black,Tobacco,9.1,30.6,42.2,Urea
28.0,43.3,60.7,Black,Tobacco,41.7,34.6,12.5,DAP
23.6,66.7,51.0,Black,Maize,42.5,13.7,40.8,28-28
35.6,42.5,58.8,Clayey,Tobacco,11.8,21.4,29.5,Urea
25.9,58.7,52.3,Red,Sugarcane,17.7,17.6,16.7,14-35-14
22.0,78.8,48.0,Clayey,Millets,23.2,33.7,10.3,DAP
20.6,78.0,36.0,Clayey,Ground Nuts,6.8,5.5,21.9,17-17-17
26.8,64.9,29.5,Loamy,Sugarcane,27.8,6.1,11.6,10-26-26
20.8,60.8,34.9,Sandy,Cotton,22.4,12.2,30.6,28-28
34.7,74.9,63.9,Loamy,Oil seeds,7.4,13.9,35.2,17-17-17
37.9,58.7,53.9,Loamy,Ground Nuts,10.0,30.3,30.8,Urea
26.6,70.0,60.0,Clayey,Pulses,42.1,8.4,25.7,28-28
25.6,69.1,37.2,Red,Maize,9.3,38.0,13.2,20-20
31.9,69.3,60.9,Sandy,Barley,10.6,28.0,14.3,20-20
20.2,52.6,56.2,Red,Paddy,12.8,40.3,38.3,Urea
32.3,57.6,64.3,Red,Millets,34.2,11.9,25.1,28-28
36.6,47.1,28.3,Sandy,Tobacco,8.8,26.9,42.9,Urea
31.9,53.2,60.1,Red,Oil seeds,8.7,25.2,6.5,20-20
21.2,70.2,31.6,Red,Tobacco,42.8,7.3,29.2,28-28
24.3,63.0,47.4,Clayey,Maize,10.8,16.6,38.9,17-17-17
31.2,79.6,57.8,Red,Sugarcane,21.1,34.3,12.2,DAP
29.9,71.4,36.3,Black,Paddy,11.9,34.3,21.3,Urea
25.9,64.5,27.1,Sandy,Maize,13.7,29.2,15.8,20-20
35.3,46.9,44.5,Sandy,Pulses,16.6,19.1,16.3,14-35-14
33.3,52.8,29.2,Black,Paddy,37.9,24.2,6.5,DAP
25.7,63.7,39.3,Loamy,Barley,19.6,18.9,15.7,14-35-14
22.2,48.5,31.9,Black,Oil seeds,20.8,16.0,15.7,14-35-14
25.5,70.6,37.2,Sandy,Pulses,30.2,12.1,17.2,10-26-26
34.2,66.3,45.6,Sandy,Ground Nuts,10.4,23.9,13.2,20-20
34.1,67.4,51.9,Sandy,Maize,12.2,21.1,28.7,Urea
37.1,50.6,28.5,Sandy,Cotton,5.5,33.8,41.4,Urea
37.5,73.1,30.3,Red,Maize,43.0,9.6,31.3,28-28
35.0,66.4,27.4,Red,Sugarcane,11.4,38.6,23.7,Urea
23.4,46.8,59.8,Clayey,Maize,30.5,12.3,36.4,28-28
28.6,51.5,39.5,Red,Sugarcane,41.5,15.4,17.1,10-26-26
21.0,80.0,52.8,Loamy,Pulses,20.5,16.8,16.7,14-35-14
25.5,63.9,31.9,Sandy,Millets,11.5,39.5,9.7,20-20
27.8,55.5,63.4,Red,Pulses,39.2,13.0,12.1,10-26-26
28.4,72.4,55.7,Sandy,Millets,32.6,17.4,15.1,10-26-26
24.8,50.7,60.6,Loamy,Sugarcane,11.3,21.6,43.2,20-20
22.6,60.2,31.2,Sandy,Pulses,17.5,17.3,15.7,14-35-14
23.0,77.7,37.8,Clayey,Cotton,14.2,13.3,41.0,17-17-17
37.0,48.3,64.6,Black,Wheat,13.4,36.6,5.8,20-20
23.9,78.5,46.4,Red,Cotton,29.5,33.1,5.1,DAP
33.3,69.3,31.6,Sandy,Maize,43.9,31.4,6.1,DAP
30.9,55.0,39.1,Red,Oil seeds,12.4,17.8,20.2,17-17-17
30.6,42.2,27.0,Black,Pulses,42.1,11.4,13.0,10-26-26
37.4,78.0,64.4,Loamy,Millets,41.7,13.3,42.7,28-28
32.8,78.5,47.9,Black,Barley,7.2,37.2,34.9,Urea
27.1,63.9,40.0,Loamy,Maize,29.4,43.5,12.5,DAP
20.0,70.6,54.6,Clayey,Maize,10.9,35.2,15.1,20-20
27.7,46.2,64.1,Loamy,Ground Nuts,26.1,23.6,8.3,DAP
28.0,47.7,43.0,Black,Tobacco,5.8,16.3,34.0,17-17-17
23.3,49.0,51.5,Red,Pulses,15.5,13.0,32.5,17-17-17
22.4,55.0,57.4,Clayey,Pulses,34.2,7.4,22.7,28-28
29.3,73.7,42.5,Red,Barley,30.8,34.4,10.7,DAP
24.7,64.3,48.0,Sandy,Millets,29.9,42.0,12.5,DAP
29.7,58.5,32.4,Loamy,Tobacco,16.5,31.3,6.9,20-20
29.2,65.9,45.7,Loamy,Millets,6.7,6.7,44.7,17-17-17
32.3,54.9,54.3,Black,Wheat,30.1,39.2,10.5,DAP
29.7,43.5,41.4,Sandy,Barley,14.1,42.5,31.5,Urea
34.8,55.0,53.7,Sandy,Oil seeds,5.7,28.6,25.8,Urea
26.0,58.4,63.2,Red,Tobacco,7.5,11.7,42.6,17-17-17
32.1,41.8,33.8,Black,Maize,10.1,37.8,28.3,Urea
22.9,75.8,36.7,Black,Cotton,38.3,44.1,10.0,DAP
31.1,53.4,52.1,Loamy,Barley,15.4,21.0,21.2,14-35-14
29.1,59.6,39.5,Loamy,Tobacco,11.8,34.8,22.8,Urea
36.8,71.2,50.8,Black,Sugarcane,13.8,23.5,29.3,Urea
33.5,70.3,51.1,Loamy,Wheat,6.8,14.4,23.7,17-17-17
22.9,68.1,52.7,Sandy,Barley,31.5,27.9,8.2,DAP
32.6,44.5,58.2,Loamy,Barley,19.7,16.3,20.2,14-35-14
22.8,49.5,39.6,Loamy,Oil seeds,15.4,19.9,15.1,14-35-14
25.0,53.4,46.9,Red,Sugarcane,11.3,28.1,36.1,Urea
35.0,46.8,62.2,Loamy,Tobacco,33.3,25.2,11.0,DAP
27.3,71.0,49.2,Black,Barley,32.4,12.9,7.9,10-26-26
31.2,57.6,44.5,Loamy,Maize,16.5,20.1,21.8,14-35-14
36.5,52.2,54.7,Loamy,Oil seeds,37.9,11.3,27.4,28-28
28.7,73.1,58.3,Black,Tobacco,8.8,32.2,40.1,Urea
35.0,59.6,34.9,Black,Cotton,17.4,21.7,16.8,14-35-14
34.0,71.5,49.9,Clayey,Millets,41.0,35.0,14.6,DAP
23.4,77.7,41.1,Red,Ground Nuts,33.2,18.0,12.9,10-26-26
37.6,78.7,38.9,Clayey,Wheat,16.5,21.8,18.5,14-35-14
37.0,67.3,56.9,Clayey,Barley,6.2,35.5,6.5,20-20
22.0,69.0,30.7,Loamy,Barley,14.2,13.9,28.9,17-17-17
29.3,58.6,40.9,Red,Millets,14.7,26.5,9.7,20-20
35.2,53.1,53.1,Red,Ground Nuts,20.7,18.2,21.8,14-35-14
34.8,68.0,63.7,Sandy,Tobacco,40.3,37.8,10.4,DAP
20.3,50.1,61.9,Red,Tobacco,15.5,44.5,5.1,20-20
25.2,41.2,28.8,Red,Wheat,25.5,13.0,16.2,10-26-26
36.7,60.0,60.6,Black,Paddy,31.4,11.5,10.0,10-26-26
25.9,66.5,64.8,Sandy,Paddy,9.7,20.1,7.2,20-20
33.6,42.0,47.1,Loamy,Pulses,7.2,39.3,23.3,Urea
24.0,51.0,48.5,Clayey,Barley,10.6,26.0,9.3,20-20
35.9,71.5,50.0,Red,Wheat,28.5,10.9,37.5,28-28
34.1,70.0,47.9,Black,Paddy,15.1,25.2,15.5,28-28
34.8,58.9,32.7,Loamy,Paddy,13.5,6.9,38.6,17-17-17
36.8,79.6,42.3,Sandy,Paddy,21.8,19.1,15.8,14-35-14
32.5,75.6,60.0,Clayey,Ground Nuts,9.3,40.8,32.8,Urea
27.6,50.1,57.7,Loamy,Sugarcane,13.2,21.4,26.4,Urea
31.2,78.4,35.1,Sandy,Oil seeds,21.8,22.1,7.6,DAP
22.3,49.0,29.2,Black,Paddy,43.8,14.0,27.0,28-28
32.2,64.7,53.2,Black,Tobacco,16.6,12.0,41.9,17-17-17
25.0,75.2,46.7,Loamy,Oil seeds,42.7,14.5,21.0,14-35-14
24.5,77.7,63.2,Black,Barley,21.1,19.4,20.4,14-35-14
37.7,67.4,64.0,Red,Pulses,17.7,16.1,20.5,14-35-14
37.6,52.6,42.2,Red,Ground Nuts,26.9,14.7,6.9,10-26-26
23.4,49.4,56.7,Loamy,Wheat,22.3,20.6,8.5,DAP
32.6,43.6,60.5,Loamy,Millets,42.7,44.8,8.0,DAP
21.5,40.2,41.3,Clayey,Millets,14.3,9.6,28.3,17-17-17
33.2,77.6,28.7,Black,Sugarcane,27.7,10.4,31.6,28-28
25.4,66.7,50.8,Red,Wheat,34.4,31.9,8.6,DAP
28.8,76.9,44.2,Clayey,Maize,20.3,12.8,31.0,28-28
29.2,50.0,43.6,Loamy,Paddy,14.0,11.4,45.0,10-26-26
26.4,72.5,44.8,Black,Barley,44.9,21.7,11.8,DAP
20.8,50.0,39.1,Red,Oil seeds,38.5,11.2,32.4,28-28
27.4,76.9,45.0,Sandy,Pulses,20.0,15.2,21.3,DAP
28.1,67.2,28.8,Loamy,Barley,30.3,5.7,17.8,10-26-26
32.9,63.2,45.0,Clayey,Pulses,44.3,8.4,14.0,10-26-26
36.2,57.2,57.6,Red,Tobacco,6.8,35.9,13.4,20-20
23.4,56.5,31.8,Red,Tobacco,11.3,33.4,11.5,20-20
24.5,67.4,53.2,Clayey,Millets,14.3,8.6,42.0,17-17-17
20.0,74.6,57.9,Sandy,Cotton,11.5,36.5,29.4,Urea
35.5,45.6,42.2,Loamy,Maize,21.3,20.9,18.7,14-35-14
21.1,49.1,35.4,Red,Maize,29.7,29.7,7.0,DAP
21.2,43.2,55.4,Red,Paddy,31.1,37.1,6.4,DAP
22.6,70.2,53.9,Clayey,Sugarcane,8.7,20.3,5.1,20-20
24.1,56.8,29.9,Clayey,Maize,22.6,34.6,14.3,DAP
26.2,67.1,33.2,Red,Wheat,35.5,20.1,14.3,DAP
30.0,77.1,38.4,Loamy,Oil seeds,12.4,37.7,17.0,20-20
20.5,68.3,38.2,Sandy,Wheat,16.0,17.9,16.4,14-35-14
27.4,52.7,30.9,Loamy,Paddy,11.3,43.6,17.9,20-20
32.1,42.8,29.7,Red,Cotton,42.9,10.8,16.7,10-26-26
20.9,47.5,27.7,Black,Pulses,24.7,23.0,6.7,DAP
28.0,53.6,43.7,Red,Paddy,30.7,43.4,6.1,DAP
21.8,74.1,45.3,Red,Sugarcane,21.5,15.7,19.4,14-35-14
36.1,71.7,55.0,Loamy,Oil seeds,20.9,7.2,40.0,28-28
30.4,50.6,51.5,Red,Millets,17.0,36.4,7.1,20-20
30.7,53.7,43.4,Sandy,Paddy,17.8,13.1,28.9,17-17-17
29.0,55.3,46.6,Red,Barley,8.6,7.3,29.0,17-17-17
30.0,73.7,31.1,Black,Wheat,20.8,12.7,15.8,10-26-26
36.7,57.8,64.3,Loamy,Wheat,27.4,36.0,8.8,DAP
31.3,52.2,49.7,Clayey,Wheat,16.5,42.8,17.6,20-20
32.9,67.3,47.4,Loamy,Pulses,13.9,27.2,24.7,Urea
23.1,76.9,45.9,Sandy,Tobacco,21.7,17.1,16.9,14-35-14
23.6,45.2,34.3,Clayey,Paddy,6.6,15.4,31.4,17-17-17
34.1,40.9,40.3,Loamy,Millets,16.7,38.4,8.1,20-20
28.2,47.4,39.8,Clayey,Sugarcane,33.1,10.4,21.3,28-28
34.9,50.9,61.1,Sandy,Oil seeds,20.7,16.3,19.0,14-35-14
32.2,68.5,64.4,Red,Millets,33.5,37.1,14.8,DAP
23.2,53.0,46.7,Clayey,Maize,16.2,28.4,5.6,20-20
27.7,70.5,63.1,Red,Wheat,44.6,5.4,30.5,28-28
33.4,65.7,35.0,Loamy,Wheat,8.6,41.8,23.2,Urea
31.3,46.4,33.2,Loamy,Barley,8.8,7.1,38.8,17-17-17
29.1,59.8,32.0,Red,Millets,8.3,24.7,29.0,Urea
30.1,69.1,44.3,Loamy,Millets,33.1,42.9,14.3,DAP
32.3,40.7,46.5,Black,Cotton,35.7,44.9,13.6,DAP
21.1,78.1,49.5,Clayey,Sugarcane,40.0,28.0,9.6,DAP
22.6,54.3,59.3,Clayey,Wheat,20.9,23.1,9.0,DAP
37.9,46.9,30.8,Sandy,Ground Nuts,42.9,12.5,42.1,28-28
31.8,70.7,44.8,Black,Cotton,44.8,25.9,9.0,DAP
28.1,76.9,47.4,Clayey,Tobacco,17.6,30.4,12.8,20-20
31.4,68.5,55.8,Clayey,Ground Nuts,14.5,14.6,25.9,17-17-17
37.9,72.1,58.2,Sandy,Wheat,12.5,9.3,23.8,17-17-17
35.1,70.5,53.8,Sandy,Pulses,10.5,38.4,26.5,28-28
25.6,46.4,60.8,Loamy,Tobacco,34.9,7.2,40.6,28-28
26.1,55.3,63.9,Loamy,Sugarcane,15.0,44.5,44.6,Urea
28.6,78.6,40.8,Sandy,Barley,15.1,15.5,18.8,14-35-14
25.2,43.5,59.4,Sandy,Tobacco,14.7,37.2,42.6,Urea
29.2,65.5,48.1,Loamy,Cotton,13.0,36.1,41.1,Urea
34.2,47.6,51.0,Sandy,Barley,25.0,15.0,34.6,28-28
20.5,43.6,28.1,Loamy,Pulses,30.0,41.1,12.4,DAP
36.1,52.9,28.5,Red,Wheat,12.0,38.3,41.3,Urea
26.1,55.2,63.3,Sandy,Barley,21.6,5.4,39.3,28-28
33.4,53.2,53.9,Red,Ground Nuts,37.7,10.8,33.4,DAP
25.2,69.4,48.6,Red,Tobacco,13.7,33.6,42.5,Urea
35.9,57.8,45.3,Black,Ground Nuts,30.4,6.6,15.2,10-26-26
31.0,79.8,48.8,Sandy,Tobacco,9.8,28.8,14.4,20-20
29.0,62.8,53.5,Clayey,Millets,7.9,23.7,26.8,Urea
29.1,53.7,47.7,Clayey,Cotton,21.3,10.3,32.7,28-28
27.6,51.4,61.2,Clayey,Barley,12.0,16.4,37.0,17-17-17
22.2,59.8,43.3,Loamy,Barley,20.2,29.2,11.7,DAP
36.9,43.4,38.1,Black,Ground Nuts,10.8,39.4,5.4,20-20
32.8,75.4,45.6,Sandy,Pulses,34.5,10.6,8.1,10-26-26
36.7,60.9,32.7,Clayey,Ground Nuts,10.7,10.1,29.6,17-17-17
30.2,49.7,28.2,Clayey,Maize,20.6,22.3,8.4,10-26-26
33.9,68.7,49.4,Sandy,Paddy,41.3,42.1,9.0,DAP
27.2,56.2,28.9,Loamy,Pulses,8.2,28.5,23.5,Urea
21.3,46.1,26.8,Black,Millets,27.3,6.2,41.7,28-28
31.6,79.9,34.3,Red,Tobacco,11.6,8.1,44.3,20-20
36.8,79.3,57.6,Clayey,Millets,16.6,16.9,30.1,17-17-17
27.5,66.3,31.6,Loamy,Paddy,30.9,8.6,35.8,28-28
20.0,72.2,60.6,Sandy,Oil seeds,16.9,19.1,22.0,14-35-14
32.3,67.3,58.8,Black,Maize,20.2,36.6,14.0,DAP
32.3,56.5,39.5,Black,Barley,38.4,35.2,7.9,DAP
36.7,62.1,56.6,Sandy,Ground Nuts,25.4,41.9,5.5,DAP
29.2,59.3,55.0,Loamy,Pulses,19.0,16.4,15.7,14-35-14
38.0,47.8,49.4,Black,Cotton,12.8,38.9,5.1,20-20
35.8,57.8,62.3,Sandy,Millets,12.5,21.7,37.4,Urea
26.1,54.1,29.7,Sandy,Ground Nuts,23.7,28.2,13.9,DAP
26.6,69.0,28.3,Loamy,Sugarcane,34.8,44.4,13.5,DAP
28.2,71.0,32.7,Loamy,Tobacco,34.1,14.3,7.9,10-26-26
28.8,70.0,45.6,Red,Paddy,22.2,40.8,14.0,DAP
30.3,70.1,55.1,Loamy,Wheat,23.9,21.8,8.2,DAP
28.5,79.9,42.2,Black,Paddy,38.2,12.1,5.8,10-26-26
32.6,79.9,39.3,Loamy,Paddy,19.2,15.5,15.4,14-35-14
20.4,54.8,54.8,Sandy,Barley,15.4,27.2,15.4,20-20
34.0,61.0,36.4,Red,Millets,7.4,27.2,13.8,20-20
32.4,66.1,41.6,Red,Cotton,17.8,16.3,19.1,14-35-14
22.4,56.2,34.1,Red,Maize,18.4,21.7,19.8,14-35-14
22.0,73.3,48.4,Sandy,Paddy,23.7,8.2,14.0,10-26-26
29.6,67.4,42.9,Clayey,Cotton,41.6,14.7,41.7,28-28
21.4,40.1,40.2,Black,Millets,35.0,6.2,35.7,28-28
23.1,74.1,59.7,Clayey,Millets,7.0,34.9,36.6,Urea
27.7,67.8,46.5,Red,Tobacco,20.5,41.1,7.6,DAP
31.1,76.9,28.8,Sandy,Maize,20.8,15.4,17.7,14-35-14
21.2,41.7,41.4,Black,Millets,13.9,36.2,8.3,20-20
30.8,67.4,43.7,Red,Barley,10.5,44.4,10.1,20-20
28.4,43.0,47.1,Clayey,Sugarcane,5.0,31.7,10.2,20-20
21.9,41.0,58.0,Sandy,Wheat,42.9,11.4,8.6,10-26-26
27.9,50.8,53.0,Red,Paddy,19.7,18.3,18.5,14-35-14
29.0,57.5,40.7,Black,Oil seeds,14.2,9.9,33.2,17-17-17
27.4,54.9,46.5,Black,Maize,16.7,14.2,42.2,17-17-17
37.5,65.4,63.5,Red,Tobacco,24.0,34.5,14.8,DAP
27.5,48.5,45.9,Black,Ground Nuts,17.7,16.7,27.9,17-17-17
25.2,53.1,39.9,Loamy,Paddy,29.9,16.4,9.7,10-26-26
36.7,41.0,64.5,Loamy,Paddy,37.8,29.7,10.2,DAP
25.8,64.9,28.7,Loamy,Maize,10.5,20.4,26.9,Urea
30.4,57.1,27.9,Red,Wheat,11.6,11.5,35.3,17-17-17
21.1,64.3,57.3,Sandy,Oil seeds,38.7,41.6,8.4,DAP
37.0,42.9,44.4,Loamy,Wheat,34.9,11.3,26.2,28-28
20.3,64.3,44.7,Clayey,Oil seeds,8.8,12.0,44.9,17-17-17
25.7,71.0,62.2,Clayey,Paddy,10.2,17.2,40.1,17-17-17
29.2,58.7,51.9,Sandy,Sugarcane,13.8,15.7,28.1,17-17-17
24.9,61.8,63.9,Black,Cotton,28.0,8.9,24.0,28-28
22.9,75.5,64.6,Red,Paddy,12.0,41.5,39.4,Urea
20.8,46.3,27.8,Red,Maize,7.4,29.8,27.6,Urea
21.2,61.2,35.9,Red,Oil seeds,17.4,41.1,14.3,20-20
33.2,77.3,33.4,Red,Cotton,44.9,38.2,8.6,DAP
29.8,66.2,49.8,Loamy,Tobacco,10.6,28.9,8.4,20-20
23.1,45.6,39.7,Sandy,Millets,32.3,14.5,14.9,10-26-26
23.1,64.2,46.2,Loamy,Tobacco,13.5,34.4,38.7,Urea
22.8,40.6,52.6,Loamy,Paddy,16.9,21.4,19.4,14-35-14
25.7,48.7,29.3,Clayey,Sugarcane,18.0,19.9,17.2,14-35-14
35.7,71.4,46.2,Sandy,Paddy,5.9,29.1,37.7,Urea
35.2,53.5,33.7,Black,Sugarcane,41.8,8.5,42.6,DAP
30.4,69.3,27.5,Red,Millets,16.8,17.4,43.8,17-17-17
24.8,70.2,34.6,Sandy,Maize,38.4,12.2,39.9,28-28
34.6,54.3,31.7,Sandy,Ground Nuts,22.3,10.7,15.7,10-26-26
29.7,51.2,31.5,Sandy,Sugarcane,32.1,33.0,14.5,DAP
30.9,64.2,30.1,Sandy,Wheat,44.9,11.5,10.4,10-26-26
29.4,47.8,52.6,Black,Millets,14.6,22.2,8.6,20-20
31.2,67.8,37.9,Clayey,Wheat,40.4,12.6,33.7,28-28
35.6,40.8,34.7,Black,Barley,18.3,17.3,20.9,14-35-14
26.1,75.8,42.0,Black,Ground Nuts,12.5,43.7,14.9,20-20
21.6,59.7,61.0,Sandy,Barley,18.1,20.1,16.2,14-35-14
23.3,53.9,51.5,Sandy,Maize,6.5,44.0,14.2,20-20
24.1,56.6,26.3,Red,Cotton,14.0,28.5,28.0,Urea
33.4,78.9,49.0,Clayey,Paddy,9.2,13.7,28.2,17-17-17
29.6,55.4,31.0,Loamy,Barley,15.2,22.7,6.5,20-20
33.0,55.4,27.9,Red,Oil seeds,16.6,25.9,5.6,20-20
23.6,70.1,53.4,Sandy,Ground Nuts,17.2,18.6,16.4,14-35-14
36.4,41.7,55.6,Black,Maize,21.8,16.0,16.6,14-35-14
36.4,66.8,42.5,Red,Tobacco,34.3,10.5,17.0,10-26-26
25.3,65.6,41.6,Clayey,Sugarcane,34.9,9.7,30.5,28-28
32.4,72.0,44.7,Red,Ground Nuts,17.9,18.6,19.9,14-35-14
24.3,71.8,28.4,Sandy,Wheat,33.1,10.0,25.2,28-28
29.0,68.3,54.8,Loamy,Oil seeds,38.2,10.5,12.5,10-26-26
30.7,77.9,32.7,Clayey,Maize,42.6,27.7,7.9,DAP
31.3,45.2,60.3,Sandy,Paddy,21.5,18.5,20.8,14-35-14
32.6,62.7,48.5,Clayey,Millets,28.3,22.0,8.6,DAP
32.5,78.1,63.5,Sandy,Millets,14.0,5.9,35.2,17-17-17
25.1,66.7,37.4,Loamy,Tobacco,21.2,27.8,5.6,DAP
21.3,50.1,32.1,Sandy,Sugarcane,7.3,40.1,11.4,20-20
32.4,66.1,49.0,Sandy,Cotton,43.1,13.8,25.7,28-28
21.4,42.2,34.3,Black,Tobacco,11.0,13.0,26.5,17-17-17
24.5,52.0,49.5,Red,Ground Nuts,8.7,39.6,36.9,Urea
24.9,58.2,57.3,Clayey,Ground Nuts,5.9,5.6,41.2,17-17-17
22.7,55.4,30.2,Black,Tobacco,41.8,17.1,7.4,10-26-26
32.1,76.5,63.9,Clayey,Sugarcane,7.9,14.2,25.9,17-17-17
20.7,42.1,49.3,Red,Ground Nuts,15.5,11.9,36.6,17-17-17
21.9,71.9,63.1,Red,Tobacco,21.5,32.2,6.5,DAP
35.6,51.4,56.3,Black,Sugarcane,7.2,24.8,35.0,Urea
20.9,49.6,38.8,Clayey,Tobacco,10.7,15.2,29.2,17-17-17
37.6,49.6,59.5,Clayey,Barley,35.5,36.3,9.2,DAP
24.1,42.8,46.4,Red,Pulses,15.8,15.0,38.5,Urea
25.1,40.6,29.7,Clayey,Oil seeds,41.9,27.4,7.9,DAP
34.3,77.5,56.2,Red,Barley,16.6,17.7,20.7,14-35-14
35.0,55.3,58.0,Loamy,Oil seeds,5.9,17.3,31.0,17-17-17
30.3,60.3,58.6,Loamy,Sugarcane,5.8,43.2,6.5,10-26-26
30.7,54.2,43.6,Red,Barley,28.2,40.6,10.9,DAP
38.0,71.5,35.9,Black,Tobacco,5.4,41.1,8.0,20-20
36.3,65.6,34.1,Loamy,Pulses,25.5,7.6,41.6,28-28
27.6,73.4,55.8,Sandy,Pulses,40.3,8.3,33.0,28-28
22.8,68.3,46.6,Sandy,Paddy,17.1,15.3,19.6,14-35-14
31.0,68.7,39.8,Red,Ground Nuts,17.3,17.0,16.8,14-35-14
37.1,54.4,25.1,Black,Wheat,14.8,23.2,37.5,Urea
30.9,60.0,40.3,Black,Cotton,15.9,19.2,20.3,14-35-14
31.0,48.7,51.0,Loamy,Maize,17.4,15.2,20.3,14-35-14
29.9,78.8,64.2,Red,Wheat,27.0,13.7,31.0,28-28
30.2,55.4,29.5,Loamy,Maize,43.7,8.5,9.6,10-26-26
30.8,77.2,59.3,Red,Ground Nuts,8.3,30.6,17.8,20-20
25.5,52.9,64.6,Red,Wheat,10.1,43.4,39.0,Urea
20.0,55.0,29.5,Black,Paddy,10.6,12.2,39.8,17-17-17
30.5,74.3,37.3,Clayey,Wheat,8.0,27.5,34.1,Urea
26.5,64.9,34.2,Clayey,Maize,15.3,15.2,17.4,14-35-14
24.9,74.5,26.5,Black,Millets,15.9,13.1,22.9,17-17-17
33.3,54.0,62.8,Loamy,Millets,16.9,12.5,30.5,17-17-17
32.7,56.7,33.9,Loamy,Tobacco,38.1,32.5,11.2,DAP
23.7,71.8,62.9,Loamy,Ground Nuts,13.1,30.2,28.0,Urea
30.7,61.9,62.1,Clayey,Sugarcane,5.9,5.1,32.9,17-17-17
36.4,56.3,43.7,Loamy,Wheat,8.9,35.2,15.8,20-20
